Holiday,Temp(in K),Temp(in C),Temp(in F),Rain_1h,Snow_1h,Clouds_all,Weather_main,Weather_description,Traffic_volume,Date,Time
-,278.16,5.01,41.018,0.0,0.0,90,Clouds,Overcast clouds,3160,2012-10-06,20:00:00
-,277.93,4.78,40.604,0.0,0.0,90,Clouds,Overcast clouds,2992,2012-10-06,21:00:00
-,276.9,3.75,38.75,0.0,0.0,90,Clouds,Overcast clouds,3202,2012-10-06,22:00:00
-,276.34,3.19,37.742,0.0,0.0,75,Clouds,Broken clouds,1941,2012-10-06,23:00:00
-,276.11,2.96,37.328,0.0,0.0,75,Clouds,Broken clouds,1233,2012-10-07,00:00:00
-,275.73,2.58,36.644,0.0,0.0,90,Clouds,Overcast clouds,323,2012-10-07,03:00:00
-,275.65,2.5,36.5,0.0,0.0,90,Clouds,Overcast clouds,312,2012-10-07,04:00:00
-,275.51,2.36,36.248,0.0,0.0,75,Clouds,Broken clouds,627,2012-10-07,05:00:00
-,275.05,1.9,35.42,0.0,0.0,90,Clouds,Overcast clouds,1508,2012-10-07,06:00:00
-,274.77,1.62,34.916,0.0,0.0,90,Clouds,Overcast clouds,1539,2012-10-07,07:00:00
-,274.77,1.62,34.916,0.0,0.0,75,Clouds,Broken clouds,2232,2012-10-07,08:00:00
-,275.55,2.4,36.32,0.0,0.0,75,Clouds,Broken clouds,4568,2012-10-07,09:00:00
-,276.24,3.09,37.562,0.0,0.0,75,Clouds,Broken clouds,4624,2012-10-07,10:00:00
-,277.01,3.86,38.948,0.0,0.0,90,Clouds,Overcast clouds,4529,2012-10-07,11:00:00
-,277.43,4.28,39.704,0.0,0.0,90,Clouds,Overcast clouds,5139,2012-10-07,12:00:00
-,278.45,5.3,41.54,0.0,0.0,90,Clouds,Overcast clouds,6640,2012-10-07,13:00:00
-,279.27,6.12,43.016,0.0,0.0,90,Clouds,Overcast clouds,6589,2012-10-07,14:00:00
-,279.27,6.12,43.016,0.0,0.0,90,Clouds,Overcast clouds,4429,2012-10-07,15:00:00
-,279.44,6.29,43.322,0.0,0.0,90,Clouds,Overcast clouds,4329,2012-10-07,16:00:00
-,279.32,6.17,43.106,0.0,0.0,90,Clouds,Overcast clouds,3833,2012-10-07,17:00:00
-,279.27,6.12,43.016,0.0,0.0,90,Clouds,Overcast clouds,4015,2012-10-07,18:00:00
-,278.11,4.96,40.928,0.0,0.0,90,Clouds,Overcast clouds,3382,2012-10-07,19:00:00
-,276.79,3.64,38.552,0.0,0.0,75,Clouds,Broken clouds,2815,2012-10-07,20:00:00
-,275.73,2.58,36.644,0.0,0.0,90,Clouds,Overcast clouds,2110,2012-10-07,21:00:00
-,274.88,1.73,35.114,0.0,0.0,75,Clouds,Broken clouds,1555,2012-10-07,22:00:00
-,273.92,0.77,33.386,0.0,0.0,20,Clouds,Few clouds,959,2012-10-07,23:00:00
Columbus day,273.08,-0.07,31.874,0.0,0.0,20,Clouds,Few clouds,455,2012-10-08,00:00:00
-,272.62,-0.53,31.046,0.0,0.0,20,Clouds,Few clouds,336,2012-10-08,01:00:00
-,271.78,-1.37,29.534,0.0,0.0,1,Clear,Sky is clear,265,2012-10-08,02:00:00
-,271.05,-2.1,28.22,0.0,0.0,1,Clear,Sky is clear,314,2012-10-08,03:00:00
-,270.63,-2.52,27.464,0.0,0.0,1,Clear,Sky is clear,779,2012-10-08,04:00:00
-,270.33,-2.82,26.924,0.0,0.0,1,Clear,Sky is clear,2571,2012-10-08,05:00:00
-,269.61,-3.54,25.628,0.0,0.0,20,Clouds,Few clouds,5563,2012-10-08,06:00:00
-,270.01,-3.14,26.348,0.0,0.0,20,Clouds,Few clouds,6676,2012-10-08,07:00:00
-,271.23,-1.92,28.544,0.0,0.0,20,Clouds,Few clouds,5966,2012-10-08,08:00:00
-,273.71,0.56,33.008,0.0,0.0,20,Clouds,Few clouds,4832,2012-10-08,09:00:00
-,276.77,3.62,38.516,0.0,0.0,20,Clouds,Few clouds,4395,2012-10-08,10:00:00
-,279.47,6.32,43.376,0.0,0.0,20,Clouds,Few clouds,4411,2012-10-08,11:00:00
-,279.84,6.69,44.042,0.0,0.0,1,Clear,Sky is clear,4648,2012-10-08,12:00:00
-,282.34,9.19,48.542,0.0,0.0,40,Clouds,Scattered clouds,4602,2012-10-08,13:00:00
-,282.94,9.79,49.622,0.0,0.0,40,Clouds,Scattered clouds,5125,2012-10-08,14:00:00
-,283.48,10.33,50.594,0.0,0.0,1,Clear,Sky is clear,5502,2012-10-08,15:00:00
-,284.33,11.18,52.124,0.0,0.0,1,Clear,Sky is clear,5979,2012-10-08,16:00:00
-,284.48,11.33,52.394,0.0,0.0,40,Clouds,Scattered clouds,5663,2012-10-08,17:00:00
-,284.23,11.08,51.944,0.0,0.0,40,Clouds,Scattered clouds,4259,2012-10-08,18:00:00
-,281.99,8.84,47.912,0.0,0.0,20,Clouds,Few clouds,3069,2012-10-08,19:00:00
-,279.81,6.66,43.988,0.0,0.0,1,Clear,Sky is clear,2378,2012-10-08,20:00:00
-,279.35,6.2,43.16,0.0,0.0,1,Clear,Sky is clear,2030,2012-10-08,21:00:00
-,278.9,5.75,42.35,0.0,0.0,1,Clear,Sky is clear,1400,2012-10-08,22:00:00
-,278.46,5.31,41.558,0.0,0.0,1,Clear,Sky is clear,917,2012-10-08,23:00:00
-,277.78,4.63,40.334,0.0,0.0,1,Clear,Sky is clear,515,2012-10-09,00:00:00
-,277.27,4.12,39.416,0.0,0.0,1,Clear,Sky is clear,302,2012-10-09,01:00:00
-,277.47,4.32,39.776,0.0,0.0,1,Clear,Sky is clear,251,2012-10-09,02:00:00
-,276.97,3.82,38.876,0.0,0.0,20,Clouds,Few clouds,798,2012-10-09,04:00:00
-,276.52,3.37,38.066,0.0,0.0,40,Clouds,Scattered clouds,2678,2012-10-09,05:00:00
-,276.6,3.45,38.21,0.0,0.0,40,Clouds,Scattered clouds,5733,2012-10-09,06:00:00
-,277.31,4.16,39.488,0.0,0.0,75,Clouds,Broken clouds,6449,2012-10-09,07:00:00
-,278.38,5.23,41.414,0.0,0.0,90,Clouds,Overcast clouds,5765,2012-10-09,08:00:00
-,279.35,6.2,43.16,0.0,0.0,90,Clouds,Overcast clouds,5599,2012-10-09,09:00:00
-,281.37,8.22,46.796,0.0,0.0,90,Clouds,Overcast clouds,4534,2012-10-09,10:00:00
-,283.11,9.96,49.928,0.0,0.0,90,Clouds,Overcast clouds,4691,2012-10-09,11:00:00
-,284.08,10.93,51.674,0.0,0.0,75,Clouds,Broken clouds,5067,2012-10-09,12:00:00
-,285.14,11.99,53.582,0.0,0.0,75,Clouds,Broken clouds,5030,2012-10-09,13:00:00
-,286.35,13.2,55.76,0.0,0.0,90,Clouds,Overcast clouds,5300,2012-10-09,14:00:00
-,287.23,14.08,57.344,0.0,0.0,100,Rain,Light rain,5777,2012-10-09,15:00:00
-,288.53,15.38,59.684,0.0,0.0,90,Clouds,Overcast clouds,6349,2012-10-09,16:00:00
-,290.37,17.22,62.996,0.0,0.0,90,Clouds,Overcast clouds,6127,2012-10-09,17:00:00
-,290.13,16.98,62.564,0.0,0.0,90,Clouds,Overcast clouds,4460,2012-10-09,18:00:00
-,288.86,15.71,60.278,0.0,0.0,75,Clouds,Broken clouds,3418,2012-10-09,19:00:00
-,287.36,14.21,57.578,0.0,0.0,90,Clouds,Overcast clouds,2775,2012-10-09,20:00:00
-,285.11,11.96,53.528,0.0,0.0,90,Clouds,Overcast clouds,2306,2012-10-09,21:00:00
-,283.46,10.31,50.558,0.0,0.0,90,Clouds,Overcast clouds,1846,2012-10-09,22:00:00
-,282.45,9.3,48.74,0.0,0.0,90,Clouds,Overcast clouds,947,2012-10-09,23:00:00
-,281.88,8.73,47.714,0.0,0.0,90,Clouds,Overcast clouds,494,2012-10-10,00:00:00
-,281.78,8.63,47.534,0.0,0.0,90,Clouds,Overcast clouds,332,2012-10-10,01:00:00
-,281.09,7.94,46.292,0.0,0.0,75,Clouds,Broken clouds,261,2012-10-10,02:00:00
-,281.17,8.02,46.436,0.0,0.0,90,Clouds,Overcast clouds,361,2012-10-10,03:00:00
-,281.25,8.1,46.58,0.0,0.0,92,Clear,Sky is clear,5875,2012-10-10,06:00:00
-,281.25,8.1,46.58,0.0,0.0,99,Rain,Light rain,6793,2012-10-10,07:00:00
-,281.25,8.1,46.58,0.0,0.0,99,Drizzle,Light intensity drizzle,6793,2012-10-10,07:00:00
-,280.1,6.95,44.51,0.0,0.0,99,Rain,Light rain,6283,2012-10-10,08:00:00
-,280.1,6.95,44.51,0.0,0.0,99,Drizzle,Light intensity drizzle,6283,2012-10-10,08:00:00
-,279.61,6.46,43.628,0.0,0.0,99,Rain,Light rain,5680,2012-10-10,09:00:00
-,279.61,6.46,43.628,0.0,0.0,99,Drizzle,Light intensity drizzle,5680,2012-10-10,09:00:00
-,279.67,6.52,43.736,0.0,0.0,99,Clear,Sky is clear,4632,2012-10-10,10:00:00
-,280.19,7.04,44.672,0.0,0.0,1,Clear,Sky is clear,4887,2012-10-10,11:00:00
-,282.09,8.94,48.092,0.0,0.0,75,Clouds,Broken clouds,5030,2012-10-10,12:00:00
-,282.26,9.11,48.398,0.0,0.0,75,Clouds,Broken clouds,5067,2012-10-10,13:00:00
-,282.05,8.9,48.02,0.0,0.0,90,Clouds,Overcast clouds,5227,2012-10-10,14:00:00
-,281.59,8.44,47.192,0.0,0.0,90,Clouds,Overcast clouds,5610,2012-10-10,15:00:00
-,281.23,8.08,46.544,0.0,0.0,81,Clear,Sky is clear,6286,2012-10-10,16:00:00
-,282.6,9.45,49.01,0.0,0.0,81,Clear,Sky is clear,4775,2012-10-10,18:00:00
-,282.6,9.45,49.01,0.0,0.0,81,Clear,Sky is clear,3340,2012-10-10,19:00:00
-,282.6,9.45,49.01,0.0,0.0,81,Clear,Sky is clear,3013,2012-10-10,20:00:00
-,282.6,9.45,49.01,0.0,0.0,81,Clear,Sky is clear,2603,2012-10-10,21:00:00
-,282.6,9.45,49.01,0.0,0.0,81,Clear,Sky is clear,1910,2012-10-10,22:00:00
-,282.6,9.45,49.01,0.0,0.0,81,Clear,Sky is clear,1037,2012-10-10,23:00:00
-,273.9,0.75,33.35,0.0,0.0,1,Clear,Sky is clear,347,2012-10-11,01:00:00
-,274.4,1.25,34.25,0.0,0.0,75,Clouds,Broken clouds,350,2012-10-11,03:00:00
-,274.05,0.9,33.62,0.0,0.0,75,Clouds,Broken clouds,850,2012-10-11,04:00:00
-,273.71,0.56,33.008,0.0,0.0,40,Clouds,Scattered clouds,2791,2012-10-11,05:00:00
-,272.66,-0.49,31.118,0.0,0.0,1,Clear,Sky is clear,5809,2012-10-11,06:00:00
-,272.65,-0.5,31.1,0.0,0.0,1,Clear,Sky is clear,6798,2012-10-11,07:00:00
-,272.52,-0.63,30.866,0.0,0.0,1,Clear,Sky is clear,6304,2012-10-11,08:00:00
-,275.19,2.04,35.672,0.0,0.0,20,Clouds,Few clouds,5291,2012-10-11,09:00:00
-,275.34,2.19,35.942,0.0,0.0,1,Clear,Sky is clear,4638,2012-10-11,10:00:00
-,284.1,10.95,51.71,0.0,0.0,50,Clear,Sky is clear,5557,2012-10-11,14:00:00
-,284.1,10.95,51.71,0.0,0.0,50,Clear,Sky is clear,5818,2012-10-11,15:00:00
-,283.78,10.63,51.134,0.0,0.0,75,Clouds,Broken clouds,6272,2012-10-11,16:00:00
-,283.52,10.37,50.666,0.0,0.0,75,Clouds,Broken clouds,5944,2012-10-11,17:00:00
-,283.32,10.17,50.306,0.0,0.0,90,Clouds,Overcast clouds,4949,2012-10-11,18:00:00
-,282.06,8.91,48.038,0.0,0.0,90,Clouds,Overcast clouds,3511,2012-10-11,19:00:00
-,281.95,8.8,47.84,0.0,0.0,90,Clouds,Overcast clouds,3039,2012-10-11,20:00:00
-,281.81,8.66,47.588,0.0,0.0,90,Clouds,Overcast clouds,2679,2012-10-11,21:00:00
-,282.16,9.01,48.218,0.0,0.0,90,Clouds,Overcast clouds,2094,2012-10-11,22:00:00
-,282.53,9.38,48.884,0.0,0.0,90,Clouds,Overcast clouds,1284,2012-10-11,23:00:00
-,283.91,10.76,51.368,0.0,0.0,90,Clouds,Overcast clouds,630,2012-10-12,00:00:00
-,284.64,11.49,52.682,0.0,0.0,90,Clouds,Overcast clouds,410,2012-10-12,01:00:00
-,284.61,11.46,52.628,0.0,0.0,90,Clouds,Overcast clouds,331,2012-10-12,02:00:00
-,283.18,10.03,50.054,0.0,0.0,72,Drizzle,Light intensity drizzle,372,2012-10-12,03:00:00
-,282.26,9.11,48.398,0.0,0.0,72,Rain,Light rain,739,2012-10-12,04:00:00
-,280.77,7.62,45.716,0.0,0.0,72,Drizzle,Light intensity drizzle,2561,2012-10-12,05:00:00
-,278.53,5.38,41.684,0.0,0.0,75,Clouds,Broken clouds,5586,2012-10-12,06:00:00
-,277.64,4.49,40.082,0.0,0.0,75,Clouds,Broken clouds,6992,2012-10-12,07:00:00
-,277.9,4.75,40.55,0.0,0.0,90,Clouds,Overcast clouds,5860,2012-10-12,08:00:00
-,278.18,5.03,41.054,0.0,0.0,90,Clouds,Overcast clouds,5230,2012-10-12,09:00:00
-,279.29,6.14,43.052,0.0,0.0,75,Clouds,Broken clouds,4864,2012-10-12,10:00:00
-,280.45,7.3,45.14,0.0,0.0,75,Clouds,Broken clouds,5146,2012-10-12,11:00:00
-,280.95,7.8,46.04,0.0,0.0,40,Clouds,Scattered clouds,5526,2012-10-12,12:00:00
-,281.74,8.59,47.462,0.0,0.0,40,Clouds,Scattered clouds,5383,2012-10-12,13:00:00
-,281.84,8.69,47.642,0.0,0.0,75,Clouds,Broken clouds,5758,2012-10-12,14:00:00
-,282.45,9.3,48.74,0.0,0.0,75,Clouds,Broken clouds,5889,2012-10-12,15:00:00
-,282.2,9.05,48.29,0.0,0.0,75,Clouds,Broken clouds,6057,2012-10-12,16:00:00
-,281.54,8.39,47.102,0.0,0.0,40,Clouds,Scattered clouds,6028,2012-10-12,17:00:00
-,280.21,7.06,44.708,0.0,0.0,20,Clouds,Few clouds,5257,2012-10-12,18:00:00
-,282.2,9.05,48.29,0.0,0.0,56,Clear,Sky is clear,1897,2012-10-12,23:00:00
-,272.58,-0.57,30.974,0.0,0.0,1,Clear,Sky is clear,1335,2012-10-13,00:00:00
-,272.06,-1.09,30.038,0.0,0.0,1,Clear,Sky is clear,769,2012-10-13,01:00:00
-,270.99,-2.16,28.112,0.0,0.0,1,Clear,Sky is clear,570,2012-10-13,02:00:00
-,270.29,-2.86,26.852,0.0,0.0,20,Clouds,Few clouds,413,2012-10-13,03:00:00
-,269.48,-3.67,25.394,0.0,0.0,1,Clear,Sky is clear,399,2012-10-13,04:00:00
-,269.27,-3.88,25.016,0.0,0.0,1,Clear,Sky is clear,740,2012-10-13,05:00:00
-,268.91,-4.24,24.368,0.0,0.0,1,Clear,Sky is clear,1420,2012-10-13,06:00:00
-,268.98,-4.17,24.494,0.0,0.0,75,Clouds,Broken clouds,2220,2012-10-13,07:00:00
-,269.23,-3.92,24.944,0.0,0.0,40,Clouds,Scattered clouds,3479,2012-10-13,08:00:00
-,272.61,-0.54,31.028,0.0,0.0,40,Clouds,Scattered clouds,4546,2012-10-13,09:00:00
-,276.78,3.63,38.534,0.0,0.0,20,Clouds,Few clouds,4579,2012-10-13,10:00:00
-,279.22,6.07,42.926,0.0,0.0,1,Clear,Sky is clear,4438,2012-10-13,11:00:00
-,280.35,7.2,44.96,0.0,0.0,1,Clear,Sky is clear,4623,2012-10-13,12:00:00
-,281.81,8.66,47.588,0.0,0.0,1,Clear,Sky is clear,4440,2012-10-13,13:00:00
-,283.05,9.9,49.82,0.0,0.0,1,Clear,Sky is clear,4495,2012-10-13,14:00:00
-,283.96,10.81,51.458,0.0,0.0,1,Clear,Sky is clear,4483,2012-10-13,15:00:00
-,284.53,11.38,52.484,0.0,0.0,1,Clear,Sky is clear,4591,2012-10-13,16:00:00
-,284.44,11.29,52.322,0.0,0.0,1,Clear,Sky is clear,4477,2012-10-13,17:00:00
-,283.64,10.49,50.882,0.0,0.0,1,Clear,Sky is clear,4221,2012-10-13,18:00:00
-,281.85,8.7,47.66,0.0,0.0,20,Clouds,Few clouds,3672,2012-10-13,19:00:00
-,281.38,8.23,46.814,0.0,0.0,1,Clear,Sky is clear,3015,2012-10-13,20:00:00
-,281.84,8.69,47.642,0.0,0.0,75,Clouds,Broken clouds,2769,2012-10-13,21:00:00
-,282.23,9.08,48.344,0.0,0.0,90,Clouds,Overcast clouds,2875,2012-10-13,22:00:00
-,282.18,9.03,48.254,0.0,0.0,90,Clouds,Overcast clouds,1931,2012-10-13,23:00:00
-,282.49,9.34,48.812,0.0,0.0,90,Clouds,Overcast clouds,1309,2012-10-14,00:00:00
-,282.54,9.39,48.902,0.0,0.0,90,Clouds,Overcast clouds,870,2012-10-14,01:00:00
-,282.58,9.43,48.974,0.0,0.0,90,Clouds,Overcast clouds,654,2012-10-14,02:00:00
-,282.23,9.08,48.344,0.0,0.0,90,Clouds,Overcast clouds,364,2012-10-14,03:00:00
-,282.08,8.93,48.074,0.0,0.0,90,Clouds,Overcast clouds,262,2012-10-14,04:00:00
-,282.23,9.08,48.344,0.0,0.0,90,Clouds,Overcast clouds,505,2012-10-14,05:00:00
-,282.24,9.09,48.362,0.0,0.0,90,Clouds,Overcast clouds,861,2012-10-14,06:00:00
